peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
6.05,1120208.3646383,941552.004936171,933576.867574468,959972.050163121,905024.312659576,1220776.68273759,914042.626085107,896128.813191489,1015650.02729078,1081633.92961702,920776.143943263,998543.952127661,945249.325283689,910035.793865249,1076886.55540425,942270.64258156,1275863.04327659,1107957.28166666,942425.195035459,906912.748794327,929993.176992908,925007.519773049,935411.483858158,937176.88844681,857199.515460993,1187691.03165957,878530.425865247,1190116.03331206,919641.180851064,1198004.66887234,1005106.11939007,943908.124865252,981095.817120567,902374.835134751,864432.201489361,867459.559787233
6.11,2302569.2381915,2498680.47334755,3083696.56541843,2307981.05745389,2423626.79120568,3321143.71070916,2409498.26933332,2540601.43219151,3248544.96712769,2503516.24958867,2469299.13351772,2589135.50434752,2418670.5421064,2495723.98643972,3317721.71399291,2399253.08266667,3334336.90327664,3288996.0402128,2051767.33805675,2442467.02933335,2950695.98291485,2203958.82817017,2431484.54747518,3041396.61648222,2354878.01175179,3207041.468539,3143811.28000001,1663341.4520071,2432259.45986525,3179215.68980846,2289416.8213333,2473177.7333333,1300890.43779433,2274536.76266666,2458913.86847514,3108553.51200001
6.17,2524664.39733331,2553404.38207092,3349634.83127656,2365607.3386667,2494061.4607518,3371184.38180852,2550232.13761703,2671204.05599999,3330789.03733334,2574436.0787234,2526148.94097872,2691126.17070924,2600203.47326242,2598070.99807092,3425944.568,2490404.88707805,3522439.59466663,3460527.8712553,2165447.42933333,2583756.41208511,2986213.95733337,2332276.54592909,2567731.86400003,3189078.88802839,2570106.08590069,3329671.94400003,3311964.96205673,1869515.22666666,2576779.82466667,3274370.20800002,2407437.5473617,2655852.75856738,1487495.40266667,2333843.56898585,2574919.46421279,3289748.95035463
6.34,13265066.648,28147590.6933333,21329014.9653325,20657620.6230002,28730565.6490646,32137970.1096036,18291797.5512413,17986516.4373333,14671853.460255,23179537.4013055,27049662.9680001,16995798.7747803,17282367.2623971,22839946.6142057,23102285.797702,21013952.3180851,18811060.0359143,17315449.5535034,515186.23687234,919616.645531923,825465.059971636,688930.664553192,980229.246666668,1068818.09600001,586549.573333325,1018819.35458157,1035094.76343262,13497517.8998299,32713140.4639997,37344631.6693339,27663922.1831213,39149796.3711844,4618673.29317713,28103416.9155603,36493019.9968086,31111841.8835745
6.51,179662909.159291,212541892.026044,216696795.541291,181839190.710179,207985985.774412,217329140.333746,192396584.784738,213164874.446298,209153848.329284,227500986.308235,245911760.970554,221957817.789057,204997357.593873,231841967.024753,236823944.300398,181584999.279149,212775150.771398,212927562.175319,28225519.1562547,65764228.2252481,53350817.2969926,48131755.7486816,69400148.605363,74102206.599534,59530402.427228,67293607.2838021,70064887.5352699,209406328.061858,235848628.741327,251346601.794185,239968399.543313,242581822.767647,184322742.19827,236515655.718206,250210894.245242,249319086.797483
6.58,3530178.11761701,5285345.83733337,5402172.60266672,3375802.50933327,5164552.146,5897185.12744681,4024723.33829794,5246484.56910644,4887310.33989364,4344375.4379788,5223500.29982983,3985653.51168078,4099679.10733339,5691959.84000002,6106037.44383696,3948719.90970214,5573267.97746103,5420452.48533338,783664.426099291,2751386.46666661,1349968.24904255,1862707.92879433,4439896.66977292,5242966.73066662,5078965.61600008,5209353.85702124,6173996.3147589,3112543.81561699,4992081.95466672,5917435.36851065,3978401.87143972,5645903.05361711,2150021.2553404,3978836.23382983,5371875.3575958,4871838.5988085
6.68,1994186.11548226,2224086.54120567,2470030.21106382,1769555.86780142,2385215.01046809,2463737.4497305,1744599.43551772,2384265.09092196,2424556.10320565,1953903.54541844,2374485.81414185,2427049.24933334,1902699.88964539,2441294.62980142,2561996.82557446,2133674.34097872,3144189.86899288,3064793.22218435,1748668.24987234,2270693.62307093,2300825.99420567,1675530.91887235,2269485.25712057,2364072.09805673,2004348.84170211,2296697.859,2294445.73286524,1898760.62321986,2308696.94956028,2458353.32998582,1862415.36412766,2504694.4322695,2354608.17692908,1797047.95987234,2378058.53256738,2569976.78919147
6.89,8427362.59225532,10162629.020539,10544809.2222482,7598958.5337092,9533970.73206383,10261642.9983333,7406179.2042624,10504468.4922624,9800303.71902128,8485788.66398582,9878989.22956025,11174679.737922,8169604.65943261,9966954.53877302,10287284.068922,7524991.80697872,11176276.228773,11063659.3299858,7234283.78158157,9013247.77848936,9427851.98260993,6607239.94459574,8834683.02278722,9570186.04182977,8023413.14548936,9265697.89536878,9399348.51773757,7697293.40685107,9444783.89409219,9833252.86167376,8230150.34529076,10214399.1037021,9461160.87819858,7390105.90730496,9676633.75366666,10153082.5495957
6.97,948649.570425533,1107528.6620922,1216549.07553192,807726.795624112,1068617.90323404,1140966.11350355,850290.978666667,1163040.29944681,1189993.51579433,871771.727099291,1041717.4181844,1056332.63680142,868825.149156027,1123568.20748936,1202166.14409929,834096.495999998,1251327.95417021,1241235.78673759,753812.136397163,1075762.016,1030188.30553191,766933.76658156,1085518.30391489,1155578.7707234,1020139.60961702,1145920.0822695,1168503.75733334,781787.009524821,1077544.67191489,1120663.34455319,824620.095999999,1128132.65066666,954774.8854539,805845.559999999,1066353.33556738,1192155.14666667
7.05,10698422.2159999,16811945.0387088,15516282.4904964,12451206.2773332,17220573.4159007,18431703.1650208,11416997.6861347,13671038.0186667,13628101.568,18659141.3866383,22498540.1250846,20248951.8217873,13622660.9493332,18448328.1280989,18887084.0613331,11895881.4637445,14552471.7333333,14521937.6481771,2807956.22933335,5127550.95564534,4558010.15466668,4444636.0171914,6130240.32533316,6455034.3860424,3147305.03209224,5084600.49333329,4886532.11026943,13852719.3066667,21184139.6346664,24066207.477333,16116383.47817,22351686.0842551,11646029.2373332,16924955.5853828,22749292.261333,22766833.1022125
