Starting sequence Fri Oct 30 13:42:01 2020
_seqline	_dataname$	_alsbottle	_alsbottle2	_methpath$	_methfile$	_datapath$	Sdatafile$	_runtype$	_levelid$	_multiplr	_miscinfo$	_sampamt	_injvol	_injvol2	_expbarcode$	_expbarcode2$	_pretreatpath$	_pretreatfile$	_traypicked	_balanceoverride	_damethodpathname$	_damethodfilename$	_dareportpath$	_sampleinformation$	_istdamt	_keyword$	_keywordstring$	_matrixspikegroup$	_samplegroup$	_samplingdatetime	_samplingtime	_totalsampleamount	
1	ethyl_acetate_run1_10302020	1	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	ethyl_acetate_run1_10302020.D	Blank		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
2	P_plate1_run1_10302020	2	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	P_plate1_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
3	B_plate1_run1_10302020	3	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	B_plate1_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
4	L_plate1_run1_10302020	4	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	L_plate1_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
5	M_plate1_run1_10302020	5	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	M_plate1_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
6	P_plate2_run1_10302020	6	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	P_plate2_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
7	B_plate2_run1_10302020	7	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	B_plate2_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
8	L_plate2_run1_10302020	8	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	L_plate2_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
9	M_plate2_run1_10302020	9	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	M_plate2_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
10	P_plate3_run1_10302020	10	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	P_plate3_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
11	B_plate3_run1_10302020	11	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	B_plate3_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
12	L_plate3_run1_10302020	12	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	L_plate3_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
13	M_plate3_run1_10302020	13	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	M_plate3_run1_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
14	ethyl_acetate_run2_10302020	1	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	ethyl_acetate_run2_10302020.D	Blank		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
15	P_plate1_run2_10302020	2	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	P_plate1_run2_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
16	B_plate1_run2_10302020	3	0	D:\MassHunter\GCMS\1\methods\	Finley gain1_F2_SD6.39_40mins_Joao_06162020.M	D:\MassHunter\GCMS\1\data\metastasis_lineages_3replicates_3runs_10302020\	B_plate1_run2_10302020.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\Pretreat\			0					0						0	0	
